recipe_id,recipe_name,description,supply_source,difficulty,cooking_method,sell_price,reputation_delta,memo,active
food_001,김치볶음밥,김치와 밥을 프라이팬에 볶은 기본 메뉴,기본,0,프라이팬,28,1,가격은 임시 산정,true
food_002,김치찌개,김치와 고춧가루로 끓인 기본 찌개,기본,0,냄비,32,1,가격은 임시 산정,true
food_003,김치전,김치와 밀가루로 부친 기본 메뉴,기본,0,프라이팬,24,1,가격은 임시 산정,true
food_021,충무김밥,김과 밥으로 만든 바닷가 메뉴,바닷가,0,도마,26,1,가격은 임시 산정,true
food_022,고등어구이,고등어를 프라이팬에 구운 메뉴,바닷가,0,프라이팬,30,1,가격은 임시 산정,true
food_023,간장게장,꽃게와 새우를 냄비로 조리한 메뉴,바닷가,1,냄비,48,1,가격은 임시 산정,true
food_024,모듬회,고등어와 우럭을 도마에서 손질한 메뉴,바닷가,1,도마,46,1,가격은 임시 산정,true
food_025,물회,오징어와 우럭에 고춧가루를 더한 메뉴,바닷가,2,도마,64,2,가격은 임시 산정,true
food_026,바지락 칼국수,바지락과 밀가루와 파로 끓인 메뉴,바닷가,2,냄비,60,2,가격은 임시 산정,true
food_027,해물파전,홍합과 오징어와 파를 넣은 전 메뉴,바닷가,2,프라이팬,66,2,가격은 임시 산정,true
food_028,해물짬뽕,해산물을 듬뿍 넣고 끓인 고난도 메뉴,바닷가,3,냄비,110,3,가격은 임시 산정,true
food_041,콩국수,콩과 밀가루로 만든 깊은 숲 메뉴,깊은 숲,0,냄비,26,1,가격은 임시 산정,true
food_042,쌈밥,깻잎과 밥으로 만든 깊은 숲 메뉴,깊은 숲,0,냄비,24,1,가격은 임시 산정,true
food_043,두부김치,콩과 김치를 도마에서 준비한 메뉴,깊은 숲,1,도마,42,1,가격은 임시 산정,true
food_044,야채튀김,당근과 깻잎과 감자를 튀긴 메뉴,깊은 숲,1,튀김기,44,1,가격은 임시 산정,true
food_045,더덕구이,더덕과 파와 고춧가루를 구운 메뉴,깊은 숲,2,프라이팬,62,2,가격은 임시 산정,true
food_046,김밥,시금치와 당근과 김과 밥을 말아낸 메뉴,깊은 숲,2,도마,58,2,가격은 임시 산정,true
food_047,버섯전골,버섯과 채소를 냄비에 끓인 메뉴,깊은 숲,2,냄비,68,2,가격은 임시 산정,true
food_048,잡채,버섯과 채소를 프라이팬에 볶은 메뉴,깊은 숲,3,프라이팬,86,3,가격은 임시 산정,true
food_049,돌솥비빔밥,깊은 숲 재료와 밥을 냄비로 완성한 메뉴,깊은 숲,3,냄비,96,3,가격은 임시 산정,true
food_061,치킨,닭고기와 감자와 밀가루를 튀긴 메뉴,바람언덕,1,튀김기,48,1,가격은 임시 산정,true
food_062,육회,소고기와 계란을 도마에서 준비한 메뉴,바람언덕,1,도마,54,1,가격은 임시 산정,true
food_063,삼계탕,닭고기와 파와 더덕을 끓인 메뉴,바람언덕,1,냄비,56,1,가격은 임시 산정,true
food_064,닭날개 조림,닭고기와 파와 고춧가루를 졸인 메뉴,바람언덕,1,프라이팬,46,1,가격은 임시 산정,true
food_065,만두,돼지고기와 파와 밀가루로 만든 메뉴,바람언덕,1,냄비,44,1,가격은 임시 산정,true
food_066,불고기,돼지고기와 양파와 버섯과 계란을 볶은 메뉴,바람언덕,1,프라이팬,58,1,가격은 임시 산정,true
food_067,갈비찜,소고기와 채소와 계란을 냄비로 조리한 메뉴,바람언덕,2,냄비,74,2,가격은 임시 산정,true
food_068,더덕떡갈비,소고기와 돼지고기와 더덕을 구운 메뉴,바람언덕,2,프라이팬,76,2,가격은 임시 산정,true
food_069,육개장,소고기와 고사리와 고춧가루와 파를 끓인 메뉴,바람언덕,3,냄비,94,3,가격은 임시 산정,true
